 

stn;time;rre150z0;rco150z0
OBR;202306120350;0.0;0
OBR;202306120400;0.0;0
OBR;202306120410;0.0;0
OBR;202306120420;0.0;0
OBR;202306120430;0.0;0
OBR;202306120440;0.0;0
OBR;202306120450;0.0;0
OBR;202306120500;0.0;0
OBR;202306120510;0.0;0
OBR;202306120520;0.0;0
OBR;202306120530;0.0;0
OBR;202306120540;0.0;0
OBR;202306120550;0.0;0
OBR;202306120600;0.0;0
OBR;202306120610;0.0;0
OBR;202306120620;0.0;0
OBR;202306120630;0.0;0
OBR;202306120640;0.0;0
OBR;202306120650;0.0;0
OBR;202306120700;0.0;0
OBR;202306120710;0.0;0
OBR;202306120720;0.0;0
OBR;202306120730;0.0;0
OBR;202306120740;0.0;0
OBR;202306120750;0.0;0
OBR;202306120800;0.0;0
OBR;202306120810;0.0;0
OBR;202306120820;0.0;0
OBR;202306120830;0.0;0
OBR;202306120840;0.0;0
OBR;202306120850;0.0;0
OBR;202306120900;0.0;0
OBR;202306120910;0.0;0
OBR;202306120920;0.0;0
OBR;202306120930;0.0;0
OBR;202306120940;0.0;0
OBR;202306120950;0.0;0
OBR;202306121000;0.0;0
OBR;202306121010;0.0;0
OBR;202306121020;0.0;0
OBR;202306121030;0.0;0
OBR;202306121040;0.0;0
OBR;202306121050;0.0;0
OBR;202306121100;0.0;0
OBR;202306121110;0.0;0
OBR;202306121120;0.0;0
OBR;202306121130;0.0;0
OBR;202306121140;0.0;0
OBR;202306121150;0.0;0
OBR;202306121200;0.0;0
OBR;202306121210;0.0;0
OBR;202306121220;0.0;0
OBR;202306121230;0.0;0
OBR;202306121240;0.0;0
OBR;202306121250;0.0;0
OBR;202306121300;0.0;0
OBR;202306121310;0.0;0
OBR;202306121320;0.0;0
OBR;202306121330;0.0;0
OBR;202306121340;0.0;0
OBR;202306121350;0.0;0
OBR;202306121400;0.0;0
OBR;202306121410;0.0;0
OBR;202306121420;0.0;0
OBR;202306121430;0.0;0
OBR;202306121440;0.0;0
OBR;202306121450;0.0;0
OBR;202306121500;0.0;0
OBR;202306121510;0.0;0
OBR;202306121520;0.0;0
OBR;202306121530;0.0;0
OBR;202306121540;0.0;0
OBR;202306121550;0.0;0
OBR;202306121600;0.0;0
OBR;202306121610;0.0;0
OBR;202306121620;0.0;0
OBR;202306121630;0.0;0
OBR;202306121640;0.0;0
OBR;202306121650;0.0;0
OBR;202306121700;0.0;0
OBR;202306121710;0.0;0
OBR;202306121720;0.0;0
OBR;202306121730;0.0;0
OBR;202306121740;0.0;0
OBR;202306121750;0.0;0
OBR;202306121800;0.0;0
OBR;202306121810;0.0;0
OBR;202306121820;0.0;0
OBR;202306121830;0.0;0
OBR;202306121840;0.0;0
OBR;202306121850;0.0;0
OBR;202306121900;0.0;0
OBR;202306121910;0.0;0
OBR;202306121920;0.0;0
OBR;202306121930;0.0;0
OBR;202306121940;0.0;0
OBR;202306121950;0.0;0
OBR;202306122000;0.0;0
OBR;202306122010;0.0;0
OBR;202306122020;0.0;0
OBR;202306122030;0.0;0
OBR;202306122040;0.0;0
OBR;202306122050;0.0;0
OBR;202306122100;0.0;0
OBR;202306122110;0.0;0
OBR;202306122120;0.0;0
OBR;202306122130;0.0;0
OBR;202306122140;0.0;0
OBR;202306122150;0.0;0
OBR;202306122200;0.0;0
OBR;202306122210;0.0;0
OBR;202306122220;0.0;0
OBR;202306122230;0.0;0
OBR;202306122240;0.0;0
OBR;202306122250;0.0;0
OBR;202306122300;0.0;0
OBR;202306122310;0.0;0
OBR;202306122320;0.0;0
OBR;202306122330;0.0;0
OBR;202306122340;0.0;0
OBR;202306122350;0.0;0
OBR;202306130000;0.0;0
OBR;202306130010;0.0;0
OBR;202306130020;0.0;0
OBR;202306130030;0.0;0
OBR;202306130040;0.0;0
OBR;202306130050;0.0;0
OBR;202306130100;0.0;0
OBR;202306130110;0.0;0
OBR;202306130120;0.0;0
OBR;202306130130;0.0;0
OBR;202306130140;0.0;0
OBR;202306130150;0.0;0
OBR;202306130200;0.0;0
OBR;202306130210;0.0;0
OBR;202306130220;0.0;0
OBR;202306130230;0.0;0
OBR;202306130240;0.0;0
OBR;202306130250;0.0;0
OBR;202306130300;0.0;0
OBR;202306130310;0.0;0
OBR;202306130320;0.0;0
OBR;202306130330;0.0;0
OBR;202306130340;0.0;0
OBR;202306130350;0.0;0
OBR;202306130400;0.0;0
OBR;202306130410;0.0;0
OBR;202306130420;0.0;0
OBR;202306130430;0.0;0
OBR;202306130440;0.0;0
OBR;202306130450;0.0;0
OBR;202306130500;0.0;0
OBR;202306130510;0.0;0
OBR;202306130520;0.0;0
OBR;202306130530;0.0;0
OBR;202306130540;0.0;0
OBR;202306130550;0.0;0
OBR;202306130600;0.0;0
OBR;202306130610;0.0;0
OBR;202306130620;0.0;0
OBR;202306130630;0.0;0
OBR;202306130640;0.0;0
OBR;202306130650;0.0;0
OBR;202306130700;0.0;0
OBR;202306130710;0.0;0
OBR;202306130720;0.0;0
OBR;202306130730;0.0;0
OBR;202306130740;0.0;0
OBR;202306130750;0.0;0
OBR;202306130800;0.0;0
OBR;202306130810;0.0;0
OBR;202306130820;0.0;0
OBR;202306130830;0.0;0
OBR;202306130840;0.0;0
OBR;202306130850;0.0;0
OBR;202306130900;0.0;0
OBR;202306130910;0.0;0
OBR;202306130920;0.0;0
OBR;202306130930;0.0;0
OBR;202306130940;0.0;0
OBR;202306130950;0.0;0
OBR;202306131000;0.0;0
OBR;202306131010;0.0;0
OBR;202306131020;0.0;0
OBR;202306131030;0.0;0
OBR;202306131040;0.0;0
OBR;202306131050;0.0;0
OBR;202306131100;0.0;0
OBR;202306131110;0.0;0
OBR;202306131120;0.0;0
OBR;202306131130;0.0;0
OBR;202306131140;0.0;0
OBR;202306131150;0.0;0
OBR;202306131200;0.0;0
OBR;202306131210;0.0;0
OBR;202306131220;0.0;0
OBR;202306131230;0.0;0
OBR;202306131240;0.0;0
OBR;202306131250;0.0;0
OBR;202306131300;0.0;0
OBR;202306131310;0.0;0
OBR;202306131320;0.0;0
OBR;202306131330;0.0;0
OBR;202306131340;0.0;0
OBR;202306131350;0.0;0
OBR;202306131400;0.0;0
OBR;202306131410;0.0;0
OBR;202306131420;0.0;0
OBR;202306131430;0.0;0
OBR;202306131440;0.0;0
OBR;202306131450;0.0;0
OBR;202306131500;0.0;0
OBR;202306131510;0.0;0
OBR;202306131520;0.0;0
OBR;202306131530;0.0;0
OBR;202306131540;0.0;0
OBR;202306131550;0.0;0
OBR;202306131600;0.0;0
OBR;202306131610;0.0;0
OBR;202306131620;0.0;0
OBR;202306131630;0.0;0
OBR;202306131640;0.0;0
OBR;202306131650;0.0;0
OBR;202306131700;0.0;0
OBR;202306131710;0.0;0
OBR;202306131720;0.0;0
OBR;202306131730;0.0;0
OBR;202306131740;0.0;0
OBR;202306131750;0.0;0
OBR;202306131800;0.0;0
OBR;202306131810;0.0;0
OBR;202306131820;0.0;0
OBR;202306131830;0.0;0
OBR;202306131840;0.0;0
OBR;202306131850;0.0;0
OBR;202306131900;0.0;0
OBR;202306131910;0.0;0
OBR;202306131920;0.0;0
OBR;202306131930;0.0;0
OBR;202306131940;0.0;0
OBR;202306131950;0.0;0
OBR;202306132000;0.0;0
OBR;202306132010;0.0;0
OBR;202306132020;0.0;0
OBR;202306132030;0.0;0
OBR;202306132040;0.0;0
OBR;202306132050;0.0;0
OBR;202306132100;0.0;0
OBR;202306132110;0.0;0
OBR;202306132120;0.0;0
OBR;202306132130;0.0;0
OBR;202306132140;0.0;0
OBR;202306132150;0.0;0
OBR;202306132200;0.0;0
OBR;202306132210;0.0;0
OBR;202306132220;0.0;0
OBR;202306132230;0.0;0
OBR;202306132240;0.0;0
OBR;202306132250;0.0;0
OBR;202306132300;0.0;0
OBR;202306132310;0.0;0
OBR;202306132320;0.0;0
OBR;202306132330;0.0;0
OBR;202306132340;0.0;0
OBR;202306132350;0.0;0
OBR;202306140000;0.0;0
OBR;202306140010;0.0;0
OBR;202306140020;0.0;0
OBR;202306140030;0.0;0
OBR;202306140040;0.0;0
OBR;202306140050;0.0;0
OBR;202306140100;0.0;0
OBR;202306140110;0.0;0
OBR;202306140120;0.0;0
OBR;202306140130;0.0;0
OBR;202306140140;0.0;0
OBR;202306140150;0.0;0
OBR;202306140200;0.0;0
OBR;202306140210;0.0;0
OBR;202306140220;0.0;0
OBR;202306140230;0.0;0
OBR;202306140240;0.0;0
OBR;202306140250;0.0;0
OBR;202306140300;0.0;0
OBR;202306140310;0.0;0
OBR;202306140320;0.0;0
OBR;202306140330;0.0;0
OBR;202306140340;0.0;0
OBR;202306140350;0.0;0
OBR;202306140400;0.0;0
OBR;202306140410;0.0;0
OBR;202306140420;0.0;0
OBR;202306140430;0.0;0
OBR;202306140440;0.0;0
OBR;202306140450;0.0;0
OBR;202306140500;0.0;0
OBR;202306140510;0.0;0
OBR;202306140520;0.0;0
OBR;202306140530;0.0;0
OBR;202306140540;0.0;0
OBR;202306140550;0.0;0
OBR;202306140600;0.0;0
OBR;202306140610;0.0;0
OBR;202306140620;0.0;0
OBR;202306140630;0.0;0
OBR;202306140640;0.0;0
OBR;202306140650;0.0;0
OBR;202306140700;0.0;0
OBR;202306140710;0.0;0
OBR;202306140720;0.0;0
OBR;202306140730;0.0;0
OBR;202306140740;0.0;0
OBR;202306140750;0.0;0
OBR;202306140800;0.0;0
OBR;202306140810;0.0;0
OBR;202306140820;0.0;0
OBR;202306140830;0.0;0
OBR;202306140840;0.0;0
OBR;202306140850;0.0;0
OBR;202306140900;0.0;0
OBR;202306140910;0.0;0
OBR;202306140920;0.0;0
OBR;202306140930;0.0;0
OBR;202306140940;0.0;0
OBR;202306140950;0.0;0
OBR;202306141000;0.0;0
OBR;202306141010;0.0;0
OBR;202306141020;0.0;0
OBR;202306141030;0.0;0
OBR;202306141040;0.0;0
OBR;202306141050;0.0;0
OBR;202306141100;0.0;0
OBR;202306141110;0.0;0
OBR;202306141120;0.0;0
OBR;202306141130;0.0;0
OBR;202306141140;0.0;0
OBR;202306141150;0.0;0
OBR;202306141200;0.0;0
OBR;202306141210;0.0;0
OBR;202306141220;0.0;0
OBR;202306141230;0.0;0
OBR;202306141240;0.0;0
OBR;202306141250;0.0;0
OBR;202306141300;0.0;0
OBR;202306141310;0.0;0
OBR;202306141320;0.0;0
OBR;202306141330;0.0;0
OBR;202306141340;0.0;0
