 

stn;time;rre150z0
CHU;202007031200;0.0
CHU;202007031210;0.0
CHU;202007031220;0.0
CHU;202007031230;0.0
CHU;202007031240;0.0
CHU;202007031250;0.0
CHU;202007031300;0.0
CHU;202007031310;0.0
CHU;202007031320;0.0
CHU;202007031330;0.0
CHU;202007031340;0.0
CHU;202007031350;0.0
CHU;202007031400;0.0
CHU;202007031410;0.0
CHU;202007031420;0.0
CHU;202007031430;0.0
CHU;202007031440;0.0
CHU;202007031450;0.0
CHU;202007031500;0.0
CHU;202007031510;0.0
CHU;202007031520;0.0
CHU;202007031530;0.0
CHU;202007031540;0.0
CHU;202007031550;0.0
CHU;202007031600;0.0
CHU;202007031610;0.0
CHU;202007031620;0.0
CHU;202007031630;0.0
CHU;202007031640;0.0
CHU;202007031650;0.0
CHU;202007031700;0.0
CHU;202007031710;0.0
CHU;202007031720;0.0
CHU;202007031730;0.0
CHU;202007031740;0.0
CHU;202007031750;0.0
CHU;202007031800;0.0
CHU;202007031810;0.0
CHU;202007031820;0.0
CHU;202007031830;0.0
CHU;202007031840;0.0
CHU;202007031850;0.0
CHU;202007031900;0.0
CHU;202007031910;0.0
CHU;202007031920;0.0
CHU;202007031930;0.0
CHU;202007031940;0.0
CHU;202007031950;0.0
CHU;202007032000;0.0
CHU;202007032010;0.0
CHU;202007032020;0.0
CHU;202007032030;0.0
CHU;202007032040;0.0
CHU;202007032050;0.0
CHU;202007032100;0.0
CHU;202007032110;0.0
CHU;202007032120;0.0
CHU;202007032130;0.0
CHU;202007032140;0.0
CHU;202007032150;0.0
CHU;202007032200;0.0
CHU;202007032210;0.0
CHU;202007032220;0.0
CHU;202007032230;0.0
CHU;202007032240;0.0
CHU;202007032250;0.0
CHU;202007032300;0.0
CHU;202007032310;0.0
CHU;202007032320;0.0
CHU;202007032330;0.0
CHU;202007032340;0.0
CHU;202007032350;0.0
CHU;202007040000;0.0
CHU;202007040010;0.0
CHU;202007040020;0.0
CHU;202007040030;0.0
CHU;202007040040;0.0
CHU;202007040050;0.0
CHU;202007040100;0.0
CHU;202007040110;0.0
CHU;202007040120;0.0
CHU;202007040130;0.0
CHU;202007040140;0.0
CHU;202007040150;0.0
CHU;202007040200;0.0
CHU;202007040210;0.0
CHU;202007040220;0.0
CHU;202007040230;0.0
CHU;202007040240;0.0
CHU;202007040250;0.0
CHU;202007040300;0.0
CHU;202007040310;0.0
CHU;202007040320;0.0
CHU;202007040330;0.0
CHU;202007040340;0.0
CHU;202007040350;0.0
CHU;202007040400;0.0
CHU;202007040410;0.0
CHU;202007040420;0.0
CHU;202007040430;0.0
CHU;202007040440;0.0
CHU;202007040450;0.0
CHU;202007040500;0.0
CHU;202007040510;0.0
CHU;202007040520;0.0
