datetime,valid,discharge(L/min),temperature(C),precipitation(mm)
2020-07-09 16:00:00+00:00,False,,27.400000000000002,0.0
2020-07-09 17:00:00+00:00,False,,24.78333333333333,0.0
2020-07-09 18:00:00+00:00,False,,22.5,0.0
2020-07-09 19:00:00+00:00,False,,21.433333333333334,0.0
2020-07-09 20:00:00+00:00,False,,20.150000000000002,0.0
2020-07-09 21:00:00+00:00,False,,20.783333333333335,0.0
2020-07-09 22:00:00+00:00,False,,19.400000000000002,0.0
2020-07-09 23:00:00+00:00,False,,19.183333333333334,0.0
2020-07-10 00:00:00+00:00,False,,18.433333333333334,0.0
2020-07-10 01:00:00+00:00,False,,18.466666666666665,0.0
2020-07-10 02:00:00+00:00,False,,20.633333333333333,0.0
2020-07-10 03:00:00+00:00,False,,20.583333333333332,0.0
2020-07-10 04:00:00+00:00,False,,21.45,0.0
2020-07-10 05:00:00+00:00,False,,21.933333333333334,0.0
2020-07-10 06:00:00+00:00,False,,23.349999999999998,0.0
2020-07-10 07:00:00+00:00,False,,24.483333333333334,0.0
2020-07-10 08:00:00+00:00,False,,24.583333333333332,0.0
2020-07-10 09:00:00+00:00,False,,25.233333333333334,0.0
2020-07-10 10:00:00+00:00,False,,26.360000000000003,0.5
2020-07-10 11:00:00+00:00,False,,27.5,2.0
2020-07-10 12:00:00+00:00,False,,28.0,1.8
2020-07-10 13:00:00+00:00,False,,27.016666666666666,0.0
2020-07-10 14:00:00+00:00,False,,25.916666666666668,0.0
2020-07-10 15:00:00+00:00,False,,23.400000000000002,0.0
2020-07-10 16:00:00+00:00,False,,20.933333333333334,0.0
2020-07-10 17:00:00+00:00,False,,20.95,0.0
2020-07-10 18:00:00+00:00,False,,19.866666666666667,0.0
2020-07-10 19:00:00+00:00,False,,16.783333333333335,5.2
2020-07-10 20:00:00+00:00,False,,16.666666666666668,1.8
2020-07-10 21:00:00+00:00,False,,16.783333333333335,0.0
2020-07-10 22:00:00+00:00,False,,16.683333333333334,0.0
2020-07-10 23:00:00+00:00,False,,16.366666666666667,0.8
2020-07-11 00:00:00+00:00,False,,15.516666666666666,3.1
2020-07-11 01:00:00+00:00,False,,15.133333333333333,1.3
2020-07-11 02:00:00+00:00,False,,15.049999999999999,0.7
2020-07-11 03:00:00+00:00,False,,14.799999999999999,0.2
2020-07-11 04:00:00+00:00,False,,14.283333333333333,0.3
2020-07-11 05:00:00+00:00,False,,13.75,12.7
2020-07-11 06:00:00+00:00,False,,13.866666666666667,2.7
2020-07-11 07:00:00+00:00,False,,14.216666666666667,5.3
2020-07-11 08:00:00+00:00,False,,14.383333333333333,0.2
2020-07-11 09:00:00+00:00,False,,14.35,1.1
2020-07-11 10:00:00+00:00,False,,13.9,13.3
2020-07-11 11:00:00+00:00,False,,14.816666666666668,3.3
2020-07-11 12:00:00+00:00,False,,14.933333333333332,0.7
2020-07-11 13:00:00+00:00,False,,15.783333333333333,1.1
2020-07-11 14:00:00+00:00,False,,14.666666666666666,0.0
2020-07-11 15:00:00+00:00,False,,15.133333333333333,1.6
2020-07-11 16:00:00+00:00,False,,16.599999999999998,0.2
2020-07-11 17:00:00+00:00,False,,15.016666666666666,0.0
2020-07-11 18:00:00+00:00,False,,13.799999999999999,0.1
2020-07-11 19:00:00+00:00,False,,12.65,0.0
2020-07-11 20:00:00+00:00,False,,12.183333333333332,0.0
2020-07-11 21:00:00+00:00,False,,12.333333333333334,0.0
2020-07-11 22:00:00+00:00,False,,12.633333333333333,0.0
2020-07-11 23:00:00+00:00,False,,12.016666666666666,0.0
2020-07-12 00:00:00+00:00,False,,11.866666666666667,0.0
2020-07-12 01:00:00+00:00,False,,11.899999999999999,0.0
2020-07-12 02:00:00+00:00,False,,11.866666666666667,0.0
2020-07-12 03:00:00+00:00,False,,11.633333333333333,0.0
2020-07-12 04:00:00+00:00,False,,12.033333333333333,0.0
2020-07-12 05:00:00+00:00,False,,13.083333333333334,0.0
2020-07-12 06:00:00+00:00,False,,14.166666666666666,0.0
2020-07-12 07:00:00+00:00,False,,15.25,0.0
2020-07-12 08:00:00+00:00,False,,16.75,0.0
2020-07-12 09:00:00+00:00,False,,18.533333333333335,0.0
2020-07-12 10:00:00+00:00,False,,19.95,0.0
2020-07-12 11:00:00+00:00,False,,20.96666666666667,0.0
2020-07-12 12:00:00+00:00,False,,21.516666666666666,0.0
2020-07-12 13:00:00+00:00,False,,22.0,0.0
2020-07-12 14:00:00+00:00,False,,22.099999999999998,0.0
2020-07-12 15:00:00+00:00,False,,21.516666666666666,0.0
2020-07-12 16:00:00+00:00,False,,21.483333333333334,0.0
2020-07-12 17:00:00+00:00,False,,19.483333333333334,0.0
2020-07-12 18:00:00+00:00,False,,18.066666666666666,0.0
2020-07-12 19:00:00+00:00,False,,17.566666666666666,0.0
2020-07-12 20:00:00+00:00,False,,16.349999999999998,0.0
2020-07-12 21:00:00+00:00,False,,15.033333333333333,0.0
2020-07-12 22:00:00+00:00,False,,14.616666666666667,0.0
2020-07-12 23:00:00+00:00,False,,13.683333333333332,0.0
2020-07-13 00:00:00+00:00,False,,12.933333333333332,0.0
2020-07-13 01:00:00+00:00,False,,13.133333333333333,0.0
2020-07-13 02:00:00+00:00,False,,12.700000000000001,0.0
2020-07-13 03:00:00+00:00,False,,12.266666666666666,0.0
2020-07-13 04:00:00+00:00,False,,12.666666666666666,0.0
2020-07-13 05:00:00+00:00,False,,13.9,0.0
2020-07-13 06:00:00+00:00,False,,14.733333333333334,0.0
2020-07-13 07:00:00+00:00,False,,16.066666666666666,0.0
2020-07-13 08:00:00+00:00,False,,17.259999999999998,0.0
2020-07-13 09:00:00+00:00,False,,18.55,0.0
2020-07-13 10:00:00+00:00,False,,20.0,0.0
2020-07-13 11:00:00+00:00,False,,21.116666666666667,0.0
2020-07-13 12:00:00+00:00,False,,21.349999999999998,0.0
